[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:53:57,110] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:00,122] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:00,122] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:00,123] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:00,123] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:00,123] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:00,123] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:04,981] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:54:05,589] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:54:06,127] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:54:06,475] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:54:08,487] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:08,487] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:08,488] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:08,488] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:54:08,488] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:08,488] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:11,500] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:14,501] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
