[2022-07-13 20:44:45,719] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:44:45,719] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:58:24,261] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 20:58:24,746] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 20:58:25,250] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 20:58:25,803] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:58:27,814] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:58:27,814] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:58:43,504] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 20:58:43,965] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 20:58:44,318] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 20:58:44,664] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:58:46,675] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:58:46,675] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:58:46,676] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:58:46,676] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 20:58:46,676] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:58:46,676] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 20:58:49,684] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:58:49,684] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:58:49,684] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:58:49,684] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:58:49,685] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:58:49,685] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:58:52,700] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:58:52,700] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:58:52,700] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:58:52,701] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:58:52,701] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:58:52,701] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:58:55,705] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:58:55,705] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:58:55,705] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:58:55,705] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:58:55,705] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:58:55,706] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:59:38,316] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 20:59:38,811] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 20:59:39,278] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 20:59:39,630] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:59:41,646] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:59:41,646] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:59:41,648] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:59:41,648] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 20:59:41,648] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:59:41,648] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:59:44,651] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:59:44,651] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0480722009709125
[2022-07-13 20:59:44,651] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:59:44,652] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:59:44,652] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:59:44,652] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:06:38,744] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:06:39,259] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:06:39,915] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:06:40,271] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:06:42,281] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477986686902048
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:06:45,283] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477986686902048
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:06:48,291] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:07:18,556] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:07:19,088] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:07:19,607] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:07:20,771] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:07:22,777] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:07:22,777] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:07:22,777] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
