[2022-07-31 21:22:00,456] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:22:00,456] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:22:03,832] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:22:03,832] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:22:03,832] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:22:13,208] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:22:13,724] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:22:13,739] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:22:13,739] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:22:16,333] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:22:16,333] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:21,546] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:24:22,046] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:24:22,062] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:24:22,062] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:24,640] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:24:24,640] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:27,468] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:24:27,468] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:24:27,468] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:29,499] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:24:29,514] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:32,499] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:24:32,499] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
