[2022-07-06 23:08:48,679] [indiTest] [check] [INFO]: Sold 1126.7, Currency: BURGER
[2022-07-06 23:08:48,679] [indiTest] [check] [INFO]: Sold 15227.1, Currency: BURGER
[2022-07-06 23:08:48,680] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:08:48,680] [indiTest] [check] [INFO]: Sold 1470.8, Currency: BURGER
[2022-07-06 23:08:48,680] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:08:48,680] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 23:08:48,680] [indiTest] [check] [INFO]: Sold 1398.5, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 4779.4, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:08:48,681] [indiTest] [check] [INFO]: Sold 16884.0, Currency: BURGER
[2022-07-06 23:08:48,682] [indiTest] [check] [INFO]: Sold 2104.9, Currency: BURGER
[2022-07-06 23:09:03,985] [indiTest] [check] [INFO]: Sold 1260.9, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 2303.9, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 8495.3, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 2252.1, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 2220.5, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 1402.6, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 2509.0, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 1126.7, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 15227.1, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:09:03,986] [indiTest] [check] [INFO]: Sold 1470.8, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 4779.4, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 16884.0, Currency: BURGER
[2022-07-06 23:09:03,987] [indiTest] [check] [INFO]: Sold 2104.9, Currency: BURGER
[2022-07-06 23:09:19,387] [indiTest] [check] [INFO]: Sold 2537.3, Currency: BURGER
[2022-07-06 23:09:19,388] [indiTest] [check] [INFO]: Sold 2200.0, Currency: BURGER
[2022-07-06 23:09:19,389] [indiTest] [check] [INFO]: Sold 10503.1, Currency: BURGER
[2022-07-06 23:09:19,390] [indiTest] [check] [INFO]: Sold 1103.7, Currency: BURGER
[2022-07-06 23:09:19,391] [indiTest] [check] [INFO]: Sold 3631.6, Currency: BURGER
[2022-07-06 23:09:19,391] [indiTest] [check] [INFO]: Sold 1126.7, Currency: BURGER
[2022-07-06 23:09:19,393] [indiTest] [check] [INFO]: Sold 14104.5, Currency: BURGER
[2022-07-06 23:09:19,393] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
